CustomerID,Lookalikes
C0111,"[('C0010', 0.7895558306800142), ('C0062', 0.7036872752881196), ('C0149', 0.6261664440977049)]"
C0112,"[('C0095', 0.9541933646483846), ('C0001', 0.9408647429126716), ('C0120', 0.9345399521408059)]"
C0113,"[('C0104', 0.9549078906678925), ('C0152', 0.8208014919117139), ('C0163', 0.7686818558130291)]"
C0114,"[('C0066', 0.9370342921433082), ('C0105', 0.840300201100493), ('C0054', 0.7116393377510472)]"
C0115,"[('C0140', 0.8536007174197026), ('C0066', 0.7907265236217988), ('C0146', 0.7574982461312052)]"
C0116,"[('C0047', 0.9708458623831288), ('C0194', 0.9679621610085378), ('C0024', 0.9568486981118526)]"
C0117,"[('C0018', 0.9360082543976624), ('C0185', 0.8981335187593084), ('C0046', 0.8450716630839359)]"
C0118,"[('C0147', 0.8871522363386116), ('C0174', 0.859083142957459), ('C0071', 0.782543676816503)]"
C0119,"[('C0127', 0.9069575529358829), ('C0069', 0.8874105281549574), ('C0199', 0.8072984372684411)]"
C0120,"[('C0112', 0.9345399521408059), ('C0095', 0.9120196916827282), ('C0148', 0.870106035441621)]"
C0121,"[('C0019', 0.9140960769994063), ('C0081', 0.7676353865132365), ('C0132', 0.7257554079039106)]"
C0122,"[('C0139', 0.852138213779671), ('C0125', 0.8298881648065503), ('C0131', 0.7705553725271206)]"
C0123,"[('C0078', 0.8470034103814537), ('C0177', 0.8247372289901074), ('C0043', 0.7367306471655541)]"
C0124,"[('C0172', 0.8155662182532769), ('C0182', 0.8083056302400019), ('C0100', 0.7867762231327882)]"
C0125,"[('C0131', 0.9472418820328049), ('C0122', 0.8298881648065503), ('C0015', 0.7803780343457558)]"
C0126,"[('C0137', 0.960332512848325), ('C0191', 0.9304854046967274), ('C0187', 0.9277633875653286)]"
C0127,"[('C0069', 0.9789951700023037), ('C0119', 0.9069575529358829), ('C0051', 0.8842299770678537)]"
C0128,"[('C0097', 0.9650718796952837), ('C0178', 0.8083633872662379), ('C0060', 0.7373959601745473)]"
C0129,"[('C0133', 0.8883325124274946), ('C0013', 0.7829915512520678), ('C0107', 0.7787179364352832)]"
C0130,"[('C0095', 0.955058380000767), ('C0192', 0.8877767513834928), ('C0112', 0.856866921790754)]"
C0131,"[('C0125', 0.9472418820328049), ('C0015', 0.7869859920009901), ('C0122', 0.7705553725271206)]"
C0132,"[('C0135', 0.911837543143542), ('C0073', 0.8928811729549019), ('C0063', 0.8703918988563559)]"
C0133,"[('C0107', 0.9591676882173469), ('C0129', 0.8883325124274946), ('C0108', 0.8295871503607067)]"
C0134,"[('C0106', 0.9154766321693338), ('C0002', 0.8977893798575671), ('C0145', 0.7009057411394846)]"
C0135,"[('C0070', 0.9340218046349295), ('C0074', 0.9302429309860696), ('C0023', 0.9131749007415549)]"
C0136,"[('C0138', 0.8502120003793271), ('C0110', 0.7844599470985494), ('C0003', 0.7235912561664629)]"
C0137,"[('C0191', 0.9920012137467548), ('C0126', 0.960332512848325), ('C0187', 0.8967321503454562)]"
C0138,"[('C0110', 0.8523111756101953), ('C0136', 0.8502120003793271), ('C0080', 0.8106102442865061)]"
C0139,"[('C0122', 0.852138213779671), ('C0024', 0.7633589957610649), ('C0047', 0.7519942963745339)]"
C0140,"[('C0007', 0.88973430133014), ('C0115', 0.8536007174197026), ('C0005', 0.8360382475062904)]"
C0141,"[('C0053', 0.8334873593001667), ('C0149', 0.7811640870548611), ('C0145', 0.681080322482334)]"
C0142,"[('C0180', 0.8605559958244807), ('C0177', 0.8435305075125331), ('C0193', 0.6489422042890229)]"
C0143,"[('C0022', 0.8997990852119147), ('C0200', 0.8563510575445825), ('C0092', 0.8041656462830116)]"
C0144,"[('C0176', 0.7690231252598051), ('C0030', 0.7188364274912574), ('C0034', 0.7087290754523884)]"
C0145,"[('C0022', 0.8774557083027388), ('C0106', 0.8269861267026553), ('C0093', 0.7932689297248914)]"
C0146,"[('C0186', 0.8886097899069912), ('C0115', 0.7574982461312052), ('C0084', 0.7039615688294806)]"
C0147,"[('C0118', 0.8871522363386116), ('C0161', 0.7953933621653748), ('C0184', 0.746116340672772)]"
C0148,"[('C0096', 0.9641475430493947), ('C0120', 0.870106035441621), ('C0091', 0.746173232265618)]"
C0149,"[('C0053', 0.9699299663109417), ('C0062', 0.8300175147516331), ('C0010', 0.804565010198928)]"
C0150,"[('C0083', 0.8590838615950449), ('C0077', 0.8170618617289587), ('C0133', 0.8070856262347964)]"
C0151,"[('C0003', 0.8564302510696337), ('C0031', 0.7475707586626996), ('C0052', 0.6935108685199193)]"
C0152,"[('C0025', 0.9244063307419776), ('C0158', 0.8583773419247166), ('C0104', 0.8446954034665861)]"
C0153,"[('C0011', 0.9234977621714477), ('C0082', 0.8911157624218075), ('C0004', 0.8905140521147243)]"
C0154,"[('C0055', 0.945334616011562), ('C0157', 0.9124011901570603), ('C0072', 0.9046150658038105)]"
C0155,"[('C0004', 0.9035299351773021), ('C0011', 0.8910480688386726), ('C0126', 0.8511711515493299)]"
C0156,"[('C0024', 0.7665748997757322), ('C0194', 0.7583978945851687), ('C0046', 0.7531604359763778)]"
C0157,"[('C0154', 0.9124011901570603), ('C0055', 0.9091639818970964), ('C0072', 0.8888682541878412)]"
C0158,"[('C0152', 0.8583773419247166), ('C0052', 0.8360144417280357), ('C0163', 0.81534252383505)]"
C0159,"[('C0178', 0.7918983867907282), ('C0080', 0.7122755806068704), ('C0166', 0.6914189776577252)]"
C0160,"[('C0038', 0.992354612971565), ('C0079', 0.8343784198802813), ('C0189', 0.7433704668626875)]"
C0161,"[('C0021', 0.8138317431084294), ('C0147', 0.7953933621653748), ('C0175', 0.7816168683654335)]"
C0162,"[('C0045', 0.8312577962078406), ('C0102', 0.7058170423497786), ('C0188', 0.6942249166988345)]"
C0163,"[('C0003', 0.8455192741297328), ('C0012', 0.8294369273419473), ('C0158', 0.81534252383505)]"
C0164,"[('C0179', 0.9421192007964947), ('C0100', 0.9190652793510399), ('C0086', 0.8991035405884871)]"
C0165,"[('C0004', 0.9580759581861971), ('C0153', 0.8781945985858709), ('C0082', 0.8718067462938753)]"
C0166,"[('C0086', 0.9661644952391599), ('C0179', 0.9076997442613439), ('C0037', 0.8795669801899351)]"
C0167,"[('C0063', 0.9707613259628303), ('C0064', 0.9147522619675832), ('C0044', 0.8718152806330027)]"
C0168,"[('C0171', 0.9589687091884521), ('C0006', 0.899363250097676), ('C0082', 0.857534890266912)]"
C0169,"[('C0165', 0.8560298752651949), ('C0004', 0.8512041411285685), ('C0171', 0.8498225870980303)]"
C0170,"[('C0037', 0.9549425361380509), ('C0182', 0.9099512450040343), ('C0089', 0.8929290643550787)]"
C0171,"[('C0168', 0.9589687091884521), ('C0082', 0.9347152977708113), ('C0006', 0.887798409458259)]"
C0172,"[('C0164', 0.859378707369935), ('C0124', 0.8155662182532769), ('C0014', 0.8119609377011358)]"
C0173,"[('C0175', 0.9574233731195363), ('C0021', 0.9053405988229516), ('C0101', 0.8549639848845692)]"
C0174,"[('C0011', 0.9305489084495315), ('C0071', 0.9152984207346712), ('C0118', 0.859083142957459)]"
C0175,"[('C0173', 0.9574233731195363), ('C0021', 0.8415701180455696), ('C0101', 0.7894807769598997)]"
C0176,"[('C0144', 0.7690231252598051), ('C0029', 0.7025243085212974), ('C0134', 0.689413143748672)]"
C0177,"[('C0180', 0.8440966392908722), ('C0142', 0.8435305075125331), ('C0123', 0.8247372289901074)]"
C0178,"[('C0128', 0.8083633872662379), ('C0159', 0.7918983867907282), ('C0080', 0.7167361275859673)]"
C0179,"[('C0086', 0.9727762931732392), ('C0164', 0.9421192007964947), ('C0100', 0.9383461469930483)]"
C0180,"[('C0142', 0.8605559958244807), ('C0177', 0.8440966392908722), ('C0090', 0.7917748436219684)]"
C0181,"[('C0190', 0.9451849032030378), ('C0039', 0.879182631929717), ('C0048', 0.8718737774443964)]"
C0182,"[('C0170', 0.9099512450040343), ('C0089', 0.8932975809066437), ('C0124', 0.8083056302400019)]"
C0183,"[('C0016', 0.9722741554640425), ('C0067', 0.9563064152297369), ('C0030', 0.9245896263419587)]"
C0184,"[('C0192', 0.8966426335470772), ('C0001', 0.8520480937690558), ('C0102', 0.7785212706385142)]"
C0185,"[('C0117', 0.8981335187593084), ('C0018', 0.8329391373931415), ('C0125', 0.735782242166241)]"
C0186,"[('C0146', 0.8886097899069912), ('C0005', 0.8646647716072835), ('C0140', 0.8218634552443483)]"
C0187,"[('C0085', 0.9300375481432431), ('C0126', 0.9277633875653286), ('C0137', 0.8967321503454562)]"
C0188,"[('C0102', 0.9831250506718293), ('C0001', 0.8620621580571354), ('C0096', 0.800737510619988)]"
C0189,"[('C0008', 0.8098250052808432), ('C0038', 0.7825633045111838), ('C0059', 0.7792133171807801)]"
C0190,"[('C0039', 0.9634959343928675), ('C0181', 0.9451849032030378), ('C0048', 0.9284773921934716)]"
C0191,"[('C0137', 0.9920012137467548), ('C0126', 0.9304854046967274), ('C0187', 0.8357803552247374)]"
C0192,"[('C0001', 0.936197372253716), ('C0184', 0.8966426335470772), ('C0112', 0.8938452608670415)]"
C0193,"[('C0027', 0.928194926680415), ('C0180', 0.7655955620784125), ('C0142', 0.6489422042890229)]"
C0194,"[('C0024', 0.993819116639278), ('C0047', 0.9769371461089085), ('C0116', 0.9679621610085378)]"
C0195,"[('C0012', 0.9809195955051158), ('C0052', 0.9095166566544773), ('C0031', 0.8946969222948143)]"
C0196,"[('C0170', 0.8911847058867377), ('C0037', 0.8898070400030881), ('C0089', 0.841788636483397)]"
C0197,"[('C0199', 0.8664017087479066), ('C0069', 0.7433463001676599), ('C0105', 0.6929713481455461)]"
C0198,"[('C0103', 0.9374426501052004), ('C0061', 0.8991791950254711), ('C0009', 0.8825076208648374)]"
C0199,"[('C0069', 0.9027159442262408), ('C0197', 0.8664017087479066), ('C0127', 0.8157999165204681)]"
C0200,"[('C0143', 0.8563510575445825), ('C0040', 0.8543922140294034), ('C0022', 0.822304029300986)]"
